,client_id,path,sentence,up_votes,down_votes,age,gender,accents,variant,locale,segment
579,ca4d4da2a8deab111c266ee13cc49978cc283e77b0ff4ba968e8f0eea2a7fa5a7374db2c6dfbd9c95ebfee66ca54ca719ac2fe9319f11d21afab2474720570d9,common_voice_en_38536394.wav,This revelation destroyed investor confidence in the Taylor Foundation.,2,0,teens,male,Australian English,,en,
514,86111d8f9248617cea687403d7cf674c43f498a9416b2f492b678af31ba7a8cb1728fbb045157b204894a7ae87e475654fb87fe3d3838e55db7db1b125c90769,common_voice_en_39175731.wav,Treeing Walker Coonhounds get along well with other dogs and with children.,2,0,teens,female,United States English,,en,
858,39630dc8eb4b1c31ac62ac320f2b24275af3132297bf70a0f20a78cc630c208995d6c223a1b0a37b576699ee65307f442efd35942e61ce683e0f3b41c13dfd9f,common_voice_en_38522174.wav,The team's average attendance ranked sixth in the seven-team league.,4,0,teens,male,United States English,,en,
269,75ad422b6fc047de651cd2306520504e2fc2ce3236666eb653be4d2d3864901432337a7f52b0a1bbb9f4a09f9fdb52f442ffd443f1bccf841d6ba7ced907e208,common_voice_en_39018435.wav,He then passes the daily operations on to local leadership for the long term.,2,0,teens,male,,,en,
432,bcfc949a52d81a15be4cc039d776803c5712cc59d1042503a7ea03a0e1b00562f769cf299206fe01c0b164e53c8342795280d1d9d976760b4945bd6591e09b63,common_voice_en_38528159.wav,"In C, the associativity is left-to-right for most operators; in C shell, it's right-to-left.",2,0,teens,male,United States English,,en,
25,1da998f354109f83fcae4f360e0e08ad0e64937a7870c947379a71931177b04739d57a1fdbe2324812590b928bdeb1e868c21e4214b7c7302c4bf630e0afe6eb,common_voice_en_38523203.wav,The character of the Well-Manicured Man has been positively received by critics.,2,0,twenties,male,United States English,,en,
2115,206710ecc1fcd76f0e083acbd83a04bd9613a02785b70caed19e7764dc00239a37407730310c555c891505342dd257b101e6b9df14e7d4b855b73e42df72dd96,common_voice_en_38687232.wav,The latter race has occurred as a vagrant to Grenada.,2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
3322,cf166b2a376b2518887f5a2e3c347a69f495260309ac27cc1b860d599c86cf85ebf2f20f4dbee126894eecf204d9ef657ffd494c46e75ba0d5c4a227396385eb,common_voice_en_38825214.wav,The meetings originated with the leaders of the self-governing colonies of the British Empire.,2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
2039,206710ecc1fcd76f0e083acbd83a04bd9613a02785b70caed19e7764dc00239a37407730310c555c891505342dd257b101e6b9df14e7d4b855b73e42df72dd96,common_voice_en_38677972.wav,"However, cases such as graphene may provide counter-examples.",2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
1817,2eaa77044cd86db36344c4960018f6749c36d44d435a26297e8861eb56ffb15bf978667d74903a7f054d7fb9fdead2615dab2fe4f046945989b56de2669bdb98,common_voice_en_38706229.wav,Its soundtrack was written by acclaimed composer Yuzo Koshiro.,2,0,twenties,female,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
1596,d25228a513ff08932ee566d717f80f53be59cd910febaee1b50281b5091491a168c8f380a65175fc05cf7dbc25e631583ecedae1b91e9bbe7e0b8d2a68f3859b,common_voice_en_38743374.wav,It has claim to the oldest rugby union competition in the world.,5,0,thirties,male,"England English,Well spoken softly spoken Home Counties gay,softly spoken male,well spoken male,gay male",,en,
745,4a4f7845a5f2655b9a7bce0c5b7c454b4034b2aee325ba9334874bb37b86b7d4b3ecfd4dda1e08b853054b5524265285f829e7b13b62aa01cbedb60e85d3ac94,common_voice_en_38607213.wav,How many people work here?,4,0,thirties,female,United States English,,en,
2586,b87dd0680063cbd3dc57f5b9b20c14f020f511c3f18467d52e816db909dbe2be05b8ea36a4bca91179503817a1b093a9e6036abb514c6ad1aaf1ffa71b3d32ce,common_voice_en_38557227.wav,"Later, he was confirmed in a Reformed Jewish Congregation.",2,0,thirties,male,Canadian English,,en,
740,4a4f7845a5f2655b9a7bce0c5b7c454b4034b2aee325ba9334874bb37b86b7d4b3ecfd4dda1e08b853054b5524265285f829e7b13b62aa01cbedb60e85d3ac94,common_voice_en_38607162.wav,This in turn will produce radicals to destroy harmful contaminates.,2,0,thirties,female,United States English,,en,
1559,d25228a513ff08932ee566d717f80f53be59cd910febaee1b50281b5091491a168c8f380a65175fc05cf7dbc25e631583ecedae1b91e9bbe7e0b8d2a68f3859b,common_voice_en_38740608.wav,She became secretary of the Chamber.,15,0,thirties,male,"England English,Well spoken softly spoken Home Counties gay,softly spoken male,well spoken male,gay male",,en,
401,2903ee5804f2c66e38286f7fa60560ed092ef00c8b73ababc5286c69af8edddd0597b373b90d9a620f5649fd5152547b5ba2c59e76bfa6e9454bf65696f77e0c,common_voice_en_38539226.wav,Several of these canals are still in use today.,2,0,fourties,male,United States English,,en,
395,25acd1c4b8151e30b1d619d31be1dcbe5173841a5b9a0e9b96ceda36f0a3c36320f5260420dcece8622d82d34db790cca8d70ef604ef590e2c1a2ba2523f194e,common_voice_en_38572985.wav,"Due to the power outage, the telemetry log data was faulty.",2,0,fourties,male,"Southern African (South Africa, Zimbabwe, Namibia)",,en,
651,c1a71237085b022f2c0dea2bd668bfbc7e9ee74c8be807b622c2137450199300cb44839d0f54e5962ef3797bbd28b064852b9c2ebb75b23230f2009e3f7c2a71,common_voice_en_38648108.wav,Some of the stones have survived to the present.,5,0,fourties,female,"United States English,Midwestern,Low,Demure",,en,
477,e1344fadd997c3fb6bc2dc6b8b7ef24d43761fbce35e8d5851bf0945384f3df99bd177a710242b148eb8c537d6ace458aed629f51d0563310dba9d72905671c7,common_voice_en_38623695.wav,His cartoons are featured on the newspaper's website.,2,0,fourties,male,United States English,,en,
392,de86fa342b1cd9e8a4bf8bdd7daed5094aaaf3fb4e12e9da57d8e438130c9ca6fde40317664c342d6288040175ec717e9c0caafcece855b17fbb3c9262e95c26,common_voice_en_38512587.wav,In the Middle Ages Villingen was a town under Austrian lordship.,2,0,fourties,male,,,en,
1635,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_38519192.wav,It is also used for many purposes on Wikimedia Foundation projects.,2,0,fifties,male,"German English,Non native speaker",,en,
1696,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_38667569.wav,"The river upstream of the bay supports populations of salmon, steelhead, and cutthroat trout.",2,0,fifties,male,"German English,Non native speaker",,en,
1707,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_38667654.wav,That place is facing erosion.,2,0,fifties,male,"German English,Non native speaker",,en,
1736,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_38916560.wav,The building was designed by Elliott Woods.,2,0,fifties,male,"German English,Non native speaker",,en,
1771,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_39436319.wav,It refers to the closely packed berries the species produce.,2,0,fifties,male,"German English,Non native speaker",,en,
930,a97730f86fa90560ae105669364412a9ad393b32839d0151236604af188212aab60bf5168a7975fdd0a448dd3131543f5c0032e737a7164b41e9d9d85ffd6660,common_voice_en_38774035.wav,The majority of the Russian delegates followed them out of the hall.,2,0,sixties,male,Filipino,,en,
716,e0bca1c7bdca865096dd7193fb9ea1c8d67a2ba9ed00c53e5bef6a9c1071eb36fa143a3f9ba775b5eee828eb93ea6773c02ff934e400eabe53f76c9c874eb05a,common_voice_en_38495794.wav,Mick Farren recalls actions sure to elicit the required response.,2,0,sixties,male,United States English,,en,
369,9a0f649690cb06c95ec0dbe1024e1d9f4a828b62f9315c84d84b2ddbb898d56803b52db3a6731da803bd66d2a174d9a5944a906d71644b343445765f78062f72,common_voice_en_38516685.wav,"The historically-listed Totem Theatre, created for the entertainment of this camp, still exists today.",2,0,sixties,male,England English,,en,
914,a97730f86fa90560ae105669364412a9ad393b32839d0151236604af188212aab60bf5168a7975fdd0a448dd3131543f5c0032e737a7164b41e9d9d85ffd6660,common_voice_en_38510796.wav,Powers is one of the most high-profile figures on the halfpipe snowboard circuit.,2,1,sixties,male,Filipino,,en,
275,8200d198f7194cb27ae5788522b8366199a0d3fe80a5b868a4fd1b7f89179839a28b5b075bae166a1abdb0dcf05cfc579c80fff8c77fad18da1b845d2169c8cb,common_voice_en_38571925.wav,Several popular movies and televisions programs have been filmed in Kittanning.,6,0,sixties,male,"United States English,Pacific Northwest English",,en,
818,31e6130fbdc0481295811bef4cda9067e8f876c85214ffc202c6f103027e1631a60fb5f293c11329c3865b11b040b0edf727bab25134e60f79a4040a138f91d8,common_voice_en_38763709.wav,Another great source of revenue was LunarStorm's cooperation with other companies.,4,0,seventies,male,United States English,,en,
820,31e6130fbdc0481295811bef4cda9067e8f876c85214ffc202c6f103027e1631a60fb5f293c11329c3865b11b040b0edf727bab25134e60f79a4040a138f91d8,common_voice_en_38824806.wav,"He no longer represents anything particularly British, or even modern.",2,0,seventies,male,United States English,,en,
555,fbcd109c713f9213aa925b358e9c0e4903dc7bcdf17c9456ec26934c9b1ea25fd122673137e4a59f5f3c970571c6cba49e829146cbbad500196bc3819bd3ae40,common_voice_en_38778689.wav,Soon after he starred as Escamillo in Carmen Disrupted with Sharon Stone.,3,0,seventies,male,"Southern African (South Africa, Zimbabwe, Namibia),England English",,en,
814,31e6130fbdc0481295811bef4cda9067e8f876c85214ffc202c6f103027e1631a60fb5f293c11329c3865b11b040b0edf727bab25134e60f79a4040a138f91d8,common_voice_en_38763675.wav,Solo tenor and soprano singers will exceed the altitude here specified.,2,0,seventies,male,United States English,,en,
810,31e6130fbdc0481295811bef4cda9067e8f876c85214ffc202c6f103027e1631a60fb5f293c11329c3865b11b040b0edf727bab25134e60f79a4040a138f91d8,common_voice_en_38763666.wav,Valsalva is also used by dentists following extraction of a maxillary molar tooth.,2,0,seventies,male,United States English,,en,